<id>	<title>	<Relatives>
1105832	Victor	[[Janet Stein (Earth-199999)|Janet Stein]] (Wife);[[Chase Stein (Earth-199999)|Chase Stein]] (son)
1106021	Milton	[[Carol Ekler (Earth-616)|Carol Ekler]] (wife), [[Larry Ekler (Earth-616)|Larry Ekler]] (son, deceased)
1106079	Janet	[[Victor Stein (Earth-199999)|Victor Stein]] (Husband);[[Chase Stein (Earth-199999)|Chase Stein]] (son)
1106081	Robert	[[Tina Minoru (Earth-199999)|Tina Minoru]] (Wife);[[Amy Minoru(Earth-199999)|Amy Minoru]] (daughter, deceased);[[Nico Minoru (Earth-199999)|Nico Minoru]] (daughter)
1106158	Jennifer	[[Dana D'Angelo (Earth-TRN588)|Dana D'Angelo]] (sister)
1106166	Carla	[[Jennifer D'Angelo (Earth-TRN590)|Jennifer D'Angelo]] (daughter, deceased)
1106221	Mr.	[[Vanessa Marlowe (Earth-616)|Vanessa Marlowe]] (daughter)
1106357	Holth	[[Gnives (Earth-616)|Gnives]] (father);[[Ulif (Earth-616)|Ulif]] (mother){{r|Thor Blood Oath #5}}
1106451	Harold	[[Roberta Mendez (Earth-TRN590)|Roberta Mendez]] (wife, deceased)
1106632	Doniva	[[Herbert Wyndham (Earth-616)|High Evolutionary]] (father)
1106809	Robin	[[Charles Hinton (Earth-199999)|Charles Hinton]] (father, deceased); [[Polly Hinton (Earth-199999)|Polly Hinton]] (mother)
1106889	Mrs.	[[Baldur Gallows (Earth-TRN588)|Baldur Gallows]] (son, deceased)[[Jacob Gallows (Earth-TRN588)|Jake Gallows]] (son)[[Astra Gallows (Earth-TRN588)|Astra Gallows]] (daughter-in-law, deceased)
1106890	Baldur	[[Mrs. Gallows (Earth-TRN588)|unnamed mother]] (deceased)[[Jacob Gallows (Earth-TRN588)|Jake Gallows]] (brother)[[Astra Gallows (Earth-TRN588)|Astra Gallows]] (wife, deceased)
1106891	Astra	[[Baldur Gallows (Earth-TRN588)|Baldur Gallows]] (husband, deceased)[[Jacob Gallows (Earth-TRN588)|Jake Gallows]] (brother-in-law)[[Mrs. Gallows (Earth-TRN588)|unnamed mother-in-law]] (deceased)
1106894	Mrs.	[[Baldur Gallows (Earth-TRN590)|Baldur Gallows]] (son)[[Jacob Gallows (Earth-TRN590)|Jake Gallows]] (son)[[Astra Gallows (Earth-TRN590)|Astra Gallows]] (daughter-in-law, deceased)
1106895	Baldur	[[Mrs. Gallows (Earth-TRN590)|unnamed mother]][[Jacob Gallows (Earth-TRN590)|Jake Gallows]] (brother)[[Astra Gallows (Earth-TRN590)|Astra Gallows]] (wife)
1106897	Astra	[[Baldur Gallows (Earth-TRN590)|Baldur Gallows]] (husband)[[Jacob Gallows (Earth-TRN590)|Jake Gallows]] (brother-in-law)[[Mrs. Gallows (Earth-TRN590)|mother-in-law]]
1106981	Charles	[[Charles II (Earth-616)|Charles II]] (son)
1107087	Vivian	[[Henry Pym (Earth-616)|Hank Pym]] ("great-grandfather");
1107144	Khosatral	[[Dagon (Old One) (Earth-616)|Dagon]] (likely parent)
1107260	Jack	[[Alexander Power (Earth-TRN590)|Alex Power]] (brother)[[Katherine Power (Earth-TRN590)|Katie Power]] (sister)[[Julie Power (Earth-TRN590)|Julie Power]] (sister)
1107262	Katherine	[[Alexander Power (Earth-TRN590)|Alex Power]] (brother)[[Jack Power (Earth-TRN590)|Jack Power]] (brother)[[Julie Power (Earth-TRN590)|Julie Power]] (sister)
1107271	Julie	[[Alexander Power (Earth-TRN590)|Alex Power]] (brother)[[Katherine Power (Earth-TRN590)|Katie Power]] (sister)[[Jack Power (Earth-TRN590)|Jack Power]] (brother)
1107278	Alexander	[[Katherine Power (Earth-TRN590)|Katie Power]] (sister)[[Jack Power (Earth-TRN590)|Jack Power]] (brother)[[Julie Power (Earth-TRN590)|Julie Power]] (sister)
1107348	Nikola	[[Nicholas Fury (Earth-TRN590)|Nick Fury]] (grandfather)
1107371	Marie	Pierre Curie (husband)
1107501	Nicholas	[[Nikola Fury (Earth-TRN590)|Nik Fury]] (granddaughter)
1107608	John	[[Gregory Bestman (Earth-616)|Gregory Bestman]] (father, deceased)
1107658	Serena	[[John Hardesty (Earth-616)|John Hardesty]] (ex-husband);[[Jennifer Hardesty (Earth-616)|Jennifer Hardesty]] (daughter);[[Stephen Hardesty (Earth-616)|Steve Hardesty]] (son)
1107659	John	[[Serena Hardesty (Earth-616)|Serena Hardesty]] (ex-wife);[[Jennifer Hardesty (Earth-616)|Jennifer Hardesty]] (daughter);[[Stephen Hardesty (Earth-616)|Steve Hardesty]] (son)
1107667	John	[[Herbert Lombard (Earth-77013)|Herbert Lombard]] (nephew)
1107787	Clone	Earth-TRN590
1107801	John	[[Marla Madison (Earth-TRN590)|Marla Jameson]] (second wife, deceased)[[Elizabeth Allan (Earth-TRN590)|Liz Allan]] (third wife)
1107818	Marla	[[John Jonah Jameson (Earth-TRN590)|J. Jonah Jameson]] (husband, deceased)
1107853	Elizabeth	[[John Jonah Jameson (Earth-TRN590)|J. Jonah Jameson]] (husband, deceased)
1107912	Nigel	[[Deedra Townes (Earth-616)|Deedra Townes]] (wife), unnamed son
1107913	Deedra	[[Nigel Townes (Earth-616)|Nigel Townes]] (husband), unnamed son
1108063	Marilyn	[[Carl Burbank (Earth-616)|Carl Burbank]] (husband)
1108095	Victoria	[[Daimon Hellstrom (Earth-9591)|Daimon Hellstrom]] (Son)
1108097	Daimon	[[Victoria Wingate Hellstrom (Earth-9591)|Victoria Wingate Hellstrom]] (Mother)
1108119	Jonah	[[Karolina Dean (Earth-199999)|Karolina Dean]] (daughter){{r|Marvel's Runaways Season 1 6}}
1108132	Charles	[[Anne Morrow (Earth-616)|Anne Morrow Lindbergh]] (wife, deceased);[[Charles Lindbergh Jr. (Earth-616)|Charles Lindbergh Jr.]] (son, status unknown)
1108177	Tyrone	Unnamed father, unnamed mother
1108247	John	[[Eileen Bailey (Earth-616)|Eileen Bailey]] (wife);[[Jason Bailey (Earth-616)|Jason Bailey]] (son);[[Caitlin Bailey (Earth-616)|Caitlin Bailey]] (daughter)
1108253	Eileen	[[John Bailey (Earth-616)|John Bailey]] (husband);[[Jason Bailey (Earth-616)|Jason Bailey]] (son);[[Caitlin Bailey (Earth-616)|Caitlin Bailey]] (daughter)
1108256	James	[[Laura (Earth-17315)|Laura]] (female clone, "daughter");
1108260	Jason	[[John Bailey (Earth-616)|John Bailey]] (father);[[Eileen Bailey (Earth-616)|Eileen Bailey]] (mother);[[Caitlin Bailey (Earth-616)|Caitlin Bailey]] (sister)
1108266	Caitlin	[[John Bailey (Earth-616)|John Bailey]] (father);[[Eileen Bailey (Earth-616)|Eileen Bailey]] (mother);[[Jason Bailey (Earth-616)|Jason Bailey]] (brother)
1108288	John	[[Nancy Jellicoe (Earth-616)|Nancy Jellicoe]] (wife)
1108294	Nancy	[[John Jellicoe (Earth-616)|John Jellicoe]] (husband)
1108422	Ivan	[[Emily Guerrero (Earth-TRN658)|Emily Guerrero]] (granddaughter)
1108446	Emily	[[Ivan Guerrero (Earth-TRN658)|Ivan Guerrero]] (grandfather)
1108628	John	[[Glory Blanchard (Earth-616)|Glory Blanchard]] (sister, deceased)
1108634	Glory	[[John Blanchard (Earth-616)|John Blanchard]] (brother)
1108647	Sun	Formerly {{m|United States Army}}
1109264	Medea	[[Jason (Argonaut) (Earth-616)|Jason]] (ex-husband)[[Mermeros (Earth-616)|Mermeros]] (son, deceased)[[Pheres (Earth-616)|Pheres]] (son, deceased)
1109280	Mannanan	[[Leir (Earth-616)|Leir]] (father);[[Category:Leir Family]]
1109412	Annabelle	Unnamed father;[[Cornelius St. John (Earth-616)|Cornelius St. John]] (brother)
1109421	Cornelius	Unnamed father;[[Annabelle St. John (Earth-616)|Annabelle St. John]] (sister)
1109960	Mermeros	[[Hermes Diaktoros (Earth-616)|Hermes]] (parental great-great-grandfather);[[Jason (Argonaut) (Earth-616)|Jason]] (father);[[Medea (Olympian) (Earth-616)|Medea]] (mother, deceased);[[Pheres (Earth-616)|Pheres]] (brother, deceased)
1109961	Pheres	[[Hermes Diaktoros (Earth-616)|Hermes]] (parental great-great-grandfather);[[Jason (Argonaut) (Earth-616)|Jason]] (father);[[Medea (Olympian) (Earth-616)|Medea]] (mother, deceased);[[Mermeros (Earth-616)|Mermeros]] (brother, deceased)
1110084	Hecuba	[[Priam (Earth-616)|King Priam]] (husband, deceased)
1110086	Va	[[En Dwi Gast (Earth-616)|Grandmaster]] (father)
1110282	Captain	[[Captain (Nextwave) (Earth-7112)|The Captain]] (Host)
1110300	Elsa	[[Ulysses Bloodstone (Earth-7113)|Ulysses Bloodstone]] (Father)
1110388	Lono	[[Gaea (Earth-616)|Gaea/Papa]] (mother);
1110410	Kū	[[Gaea (Earth-616)|Gaea/Papa]] (mother);
1110412	Poliahu	[[Haumea (Earth-616)|Haumea / Papa (Gaea)]] (mother / grandmother);
1110427	Laka	[[Haumea (Earth-616)|Haumea / Papa (Gaea)]] (mother / grandmother);
1110481	Shiklah	[[Vlad Dracula (Earth-TRN659)|Vlad Dracula]] (husband)
1110489	Vlad	[[Shiklah (Earth-TRN659)|Shiklah]] (wife)
1110520	Iarbonel	[[Nuada (Earth-616)|Nuada]], [[Eochaid Ollathir (Earth-616)|The Dagda]], [[Leir (Earth-616)|Leir]], [[Ogma (Earth-616)|Ogma]] (sons with [[Gaea (Earth-616)|Danu/Gaea]]);
1110557	Mariana	[[Joaquin Torres (Earth-616)|Joaquin Torres]] (grandson)
1110567	Furnax	[[Leviathon Mother (Earth-616)|Leviathon Mother]] (mother);[[Leviathon Servitors]] (siblings)
1110642	Karolina	[[David Ellerh (Earth-199999)|David Ellerh]] (maternal grandfather, deceased);
1110705	Marlene	[[Adam Brashear (Earth-616)|Adam Brashear]] (husband);
1110804	Lisa	[[Monica Chang (Earth-616)|Monica Chang]]
1110884	Ivaldi	[[Sons of Ivaldi (Earth-616)|Sons of Ivaldi]] (sons)
1110906	Gabriel	[[Tyler Stone (Earth-TRN632)|Tyler Stone]] (alternate reality parental grandfather, decreased);[[Tempest Monroe (Earth-TRN660)|Tempest Monroe]] (mother);[[Tempest Monroe (Earth-TRN632)|Tempest Monroe]] (alternate reality mother);[[Miguel O'Hara (Earth-TRN660)|Miguel O'Hara]] (father, deceased);[[Miguel O'Hara (Earth-TRN632)|Miguel O'Hara]] (alternate realityfather, deceased);[[Gabriel O'Hara (Miguel's half-brother) (Earth-TRN632)|Gabriel O'Hara]] (alternate reality parental uncle);[[Kron Stone (Earth-TRN632)|Kron Stone]] (alternate reality parental uncle);[[Gabriel O'Hara (Miguel's son) (Earth-TRN632)|Gabri O'Hara]] (alternate reality counterpart)
1110934	John	[[Mary Jankovicz (Earth-616)|Mary Jankovicz]] (wife, deceased);[[James Jankovicz (Earth-616)|Jimmy Jancoviz]] (son)
1110940	Mary	[[John Jankovicz (Earth-616)|John Jankovicz]] (husband, deceased);[[James Jankovicz (Earth-616)|Jimmy Jancoviz]] (son)
1110983	Molly	[[Gene Hernandez (Earth-199999)|Gene Hernandez]] (father, deceased);
1110988	Gertrude	[[Dale Yorkes (Earth-199999)|Dale Yorkes]] (father);
1111015	Zach	[[Krista Starr (Earth-26320)|Krista Starr]] (twin sister), [[Lisa Starr (Earth-26320)|Lisa Starr]] (mom), [[Pat McCallum (Earth-26320)|Pat McCallum]] (uncle)
1111350	Xolotl	[[Ometecuhtli (Earth-616)|Ometcuhtli]] (father);[[Omecíhuatl (Earth-616)|Omecíhuatl]] (mother);[[Mictlantecuhtli (Deity) (Earth-616)|Mictlantecuhtli]], [[Quetzalcoatl (Earth-616)|Quetzalcoatl]], [[Tláloc (Earth-616)|Tláloc]], [[Xipe Totec (Earth-616)|Xipe Totec]], [[Tezcatlipoca (Earth-616)|Tezcatlipoca]] (brothers);
1111351	Xipe	[[Ometecuhtli (Earth-616)|Ometcuhtli]] (father);[[Omecíhuatl (Earth-616)|Omecíhuatl]] (mother);[[Mictlantecuhtli (Deity) (Earth-616)|Mictlantecuhtli]], [[Quetzalcoatl (Earth-616)|Quetzalcoatl]], [[Tlaloc (Earth-616)|Tlaloc]], [[Tezcatlipoca (Earth-616)|Tezcatlipoca]], [[Xolotl (Earth-616)|Xolotl]] (brothers);
1111352	Xochiquetzal	[[Ometecuhtli (Earth-616)|Ometcuhtli]] (father);[[Omecíhuatl (Earth-616)|Omecíhuatl]] (mother);[[Mictlantecuhtli (Deity) (Earth-616)|Mictlantecuhtli]], [[Quetzalcoatl (Earth-616)|Quetzalcoatl]], [[Tlaloc (Earth-616)|Tlaloc]], [[Xipe Totec (Earth-616)|Xipe Totec]], [[Tezcatlipoca (Earth-616)|Tezcatlipoca]], [[Xolotl (Earth-616)|Xolotl]] (brothers);
1111398	Redwing	[[Samuel Wilson (Earth-TRN562)|Sam Wilson]] (owner)
1111411	Niels	[[Robert Baldwin (Earth-TRN562)|Robbie Baldwin]] (owner)
1111477	John	[[June Tobey (Earth-400005)|June Tobey]] (wife)
1111490	June	[[John Tobey (Earth-400005)|John Tobey]] (husband)
1111518	Gnobian	[[Lump (Gnobian) (Earth-616)|Lump]] (son)
1111525	Ariela	[[Mrs. Pertuz (Earth-616)|Mrs. Pertuz]] (grandmother, deceased);
1111577	Leslie	[[Karolina Dean (Earth-199999)|Karolina Dean]] (daughter);[[Frank Dean (Earth-199999)|Frank Dean]] (husband);[[David Ellerh (Earth-199999)|David Ellerh]] (father, deceased)
1111613	Lola	[[Rafferty (Earth-616)|Rafferty]] (wife)
1111615	Rafferty	[[Lola (Fact Channel) (Earth-616)|Lola]] (wife)
1111658	Frank	[[Karolina Dean (Earth-199999)|Karolina Dean]] (legal daughter);
1111659	Stacey	[[Dale Yorkes (Earth-199999)|Dale Yorkes]] (husband);
1111827	Ogma	[[Category:Ogma Family]][[Iarbonel (Earth-616)|Iarbonel]] (father);[[Category:Iarbonel Family]]
1111828	Badb	[[Iarbonel (Earth-616)|Iarbonel]] (father);[[Category:Iarbonel Family]]
1111829	Macha	[[Iarbonel (Earth-616)|Iarbonel]] (father);[[Category:Iarbonel Family]]
1111835	Polyxena	[[Priam (Earth-616)|King Priam]] (father, deceased)
1111836	Andromache	[[Hector (Earth-616)|Hector]] (husband);
1111844	Squirrelpool	[[Wade Wilson (Earth-616)|Deadpool]] ("father"); [[Doreen Green (Earth-616)|Squirrel Girl]] ("mother")
1111883	King	[[Queen of Lorbrulgrud (Earth-TRN388)|Queen of Lorbrulgrud]] (wife)
1111889	Queen	[[King of Lorbrulgrud (Earth-TRN388)|King of Lorbrulgrud]] (husband)
1111906	John	Unnamed wife
1111938	Peter	[[Venom (Klyntar) (Earth-TRN632)|Venom]] (former symbiote)
1111998	Gilbert	[[Henry Manigo (Earth-616)|Henry Manigo]] (brother)
1111999	Henry	[[Gilbert Manigo (Earth-616)|Gilbert Manigo]] (brother)
1112020	Thomas	Unnamed wife, unnamed sons
1112079	Dale	[[Stacey Yorkes (Earth-199999)|Stacey Yorkes]] (wife);
1112080	Old	[[Gertrude Yorkes (Earth-199999)|Gertrude Yorkes]] (owner);
1112181	Ms.	Unnamed husband (deceased);
1112225	Rebecca	[[Elena Brown (Earth-616)|Elena Brown]] (sister)
1112238	Suzi	[[Michael Berengetti (Earth-616)|Michael Berengetti]] (husband, deceased)
1112255	Catita	[[James Bourne (Earth-616)|James Bourne]] (ex-husband);unnamed daughter
1112394	Gabriel	[[Miguel O'Hara (Earth-TRN362)|Miguel O'Hara]] (half-brother)[[Gabriel O'Hara (Miguel's son) (Earth-TRN632)|Gabri O'Hara]] (nephew)[[Gabriel O'Hara (Miguel's son) (Earth-TRN660)|Gabri O'Hara]] (alternate reality nephew)
1112401	Tempest	[[Gabriel O'Hara (Miguel's son) (Earth-TRN660)|Gabri O'Hara]] (son)
1112407	Miguel	[[Gabriel O'Hara (Miguel's son) (Earth-TRN660)|Gabri O'Hara]] (son)
1112434	Gabriel	[[Tyler Stone (Earth-TRN632)|Tyler Stone]] (parental grandfather,
1112455	Wyatt	[[Daisy Schilling (Earth-616)|Daisy Schilling]] (ex-fiancée)
1112456	Daisy	[[Wyatt Taft (Earth-616)|Wyatt Taft]] (ex-fiancé)
1112476	Mantis	[[Nathaniel Richards (Immortus) (Earth-6311)|"Kang"]] (husband)[[Malachi (Space Phantom) (Earth-616)|Malachi]] and [[Tobias (Space Phantom) (Earth-616)|Tobias]] (sons)[[Swordsman (Space Phantom) (Earth-616)|"Swordsman"]] (ex-husband)
1112484	Swordsman	[[Mantis (Space Phantom) (Earth-616)|"Mantis"]] (ex-wife)
1112526	Marcus'	[[Marcus (Centaur) (Earth-616)|Marcus]] (host)
1112539	Penelope	[[Odysseus (Earth-616)|Odysseus]] (husband);
1112541	Telemachus	[[Odysseus (Earth-616)|Odysseus]] (father);
1112584	Darius	[[Carl Weathers (Earth-616)|Carl Weathers]] (father);
1112624	Ida	[[Morris Epstein (Earth-616)|Morris Epstein]] (husband), [[Janine Epstein (Earth-616)|Janine Epstein]] (granddaughther)
1112626	Morris	[[Ida Epstein (Earth-616)|Ida Epstein]] (wife), [[Janine Epstein (Earth-616)|Janine Epstein]] (granddaughther)
1112663	John	[[Charles Seward (Earth-616)|Charles Seward]] (great-grandson)
1112696	John	[[Anne Wentworth (Earth-616)|Anne Wentworth-Bentley]] (wife, deceased)
1112704	Anne	[[John Bentley (Earth-616)|John Bentley]] (husband);[[Charles Wentworth (Earth-616)|Charles Wentworth]] (first husband, deceased)
1112850	Carter	[[Jordan Shaw (Earth-4489)|Jordan Shaw]] (father, deceased);[[Valida Payton (Earth-4489)|Valida Payton]] (mother);[[Jericho Shaw (Earth-4489)|Jericho Shaw]] (brother);[[Benjamin Payton (Earth-4489)|Ben Payton]] (uncle)
1112856	Jericho	[[Jordan Shaw (Earth-4489)|Jordan Shaw]] (father/template, deceased);[[Carter Shaw (Earth-4489)|Carter Shaw]] (brother)
1112864	Jordan	[[Valida Payton (Earth-4489)|Valida Payton]] (wife);[[Carter Shaw (Earth-4489)|Carter Shaw]] (son);[[Jericho Shaw (Earth-4489)|Jericho Shaw]] (son/Clone);[[Benjamin Payton (Earth-4489)|Ben Payton]] (brother-in-law)
1112872	Valida	[[Jordan Shaw (Earth-4489)|Jordan Shaw]] (husband);[[Carter Shaw (Earth-4489)|Carter Shaw]] (son);[[Benjamin Payton (Earth-4489)|Ben Payton]] (twin brother)
1112879	Benjamin	[[Valida Payton (Earth-4489)|Valida Payton]] (twin sister);[[Jordan Shaw (Earth-4489)|Jordan Shaw]] (brother-in-law, deceased);[[Carter Shaw (Earth-4489)|Carter Shaw]] (nephew)
1113293	Stanley	Unnamed mother;[[John Lumus (Earth-616)|John Lumus]] (brother)
1113305	John	Unnamed mother;[[Stanley Lumus (Earth-616)|Stanley Lumus]] (brother, deceased)
1113319	John	[[Howard Hanover (Earth-616)|Howard Hanover]] (cousin)
1113360	John	[[Pete Hunter (Earth-616)|Pete Hunter]] (brother)
1113367	Pete	[[John Hunter (Earth-616)|John Hunter]] (brother, deceased)
1113374	Jan	Unnamed daughter
1113438	Robyn	[[Alain Hölm (Earth-791)|Alain Hölm]] (brother); [[Gunnar Hölm (Earth-791)|Gunnar Hölm]] (grandfather, deceased); [[J'son (Earth-791)|Jason of Sparta]] (adopted grandfather); [[Kip Holm (Earth-791)|Kip Holm]] (father); [[Marie Hölm (Earth-791)|Marie Hölm]] (grandmother, deceased); [[Peter Quill (Earth-791)|Peter Quill]] (adopted uncle); [[Sandy (Earth-791)|Sandy]] (mother); [[Rhys Hölm (Earth-791)|Rhys Hölm]] (brother)
1113439	Rhys	[[Alain Hölm (Earth-791)|Alain Hölm]] (brother); [[Gunnar Hölm (Earth-791)|Gunnar Hölm]] (grandfather, deceased); [[J'son (Earth-791)|Jason of Sparta]] (adopted grandfather); [[Kip Holm (Earth-791)|Kip Holm]] (father); [[Marie Hölm (Earth-791)|Marie Hölm]] (grandmother, deceased); [[Peter Quill (Earth-791)|Peter Quill]] (adopted uncle); [[Sandy (Earth-791)|Sandy]] (mother); [[Robyn Hölm (Earth-791)|Robyn Hölm]] (sister)
1113440	Alain	[[Gunnar Hölm (Earth-791)|Gunnar Hölm]] (grandfather, deceased); [[J'son (Earth-791)|Jason of Sparta]] (adopted grandfather); [[Kip Holm (Earth-791)|Kip Holm]] (father); [[Marie Hölm (Earth-791)|Marie Hölm]] (grandmother, deceased); [[Peter Quill (Earth-791)|Peter Quill]] (adopted uncle); [[Sandy (Earth-791)|Sandy]] (mother); [[Rhys Hölm (Earth-791)|Alain Hölm]] (brother); [[Robyn Hölm (Earth-791)|Robyn Hölm]] (sister)
1113466	Jonathan	[[Wilhelmina Murray (Earth-616)|Wilhelmina "Mina" Harker]] (wife, deceased);
1113467	Wilhelmina	[[Jonathan Harker (Earth-616)|Jonathan Harker]] (husband, deceased);
1113468	Arthur	[[Lucy Westenra (Earth-616)|Lucy Westenra]] (wife, deceased)
1113492	Margaret	[[John Braddock (Earth-616)|John Braddock]] (paternal ancestor, possibly great-grandfather);
1113523	Vakha	Unnamed wife (deceased);
1113570	Laura	[[James Howlett (Earth-TRN012)|Wolverine]] (father)
1113571	Susan	[[Jonathan Storm (Earth-15143)|Johnny Storm]] (brother)
1113572	Jonathan	[[Susan Storm (Earth-15143)|Sue Storm]] (sister)
1113875	Seol	Unnamed grandmother;Unnamed father (deceased);Unnamed mother (deceased)
1113994	Leticia	[[Jennifer Mason (Earth-616)|Jennifer Mason]] (granddaughter)
1114025	Mr.	[[Mrs. Hillman (Earth-616)|Mrs. Hillman]] (wife);
1114027	Mrs.	[[Mr. Hillman (Earth-616)|Mr. Hillman]] (husband);
1114120	Mrs.	[[Riri Williams, Sr. (Earth-616)|Riri Williams, Sr.]] (husband, deceased);
1114136	Anna	[[Liam Donnelly (Earth-616)|Liam Donnelly]] (father)
1114141	Mrs.	[[Richard Harmon, Sr. (Earth-616)|Richard Harmon, Sr.]] (husbadn);[[Steven Harmon (Earth-616)|Steven Harmon]] (son);[[Richard Harmon, Jr. (Earth-616)|Richard Harmon Jr.]] (son);[[Portia Harmon (Earth-616)|Portia Harmon]] (daughter-in-law);[[James Harmon (Earth-616)|James Harmon]] (grandson);[[Lena Harmon (Earth-616)|Lena Harmon]] (granddaughter)
1114212	Helene	[[Jacob Raven (Earth-616)|Jacob Raven]] (husband), [[Matthew Raven (Earth-616)|Matthew Raven]] (son)
1114229	Matthew	[[Jacob Raven (Earth-616)|Jacob Raven]] (father), [[Helene Raven (Earth-616)|Helene Raven]] (mother, deceased)
1114250	Alice	[[Mona Maguire (Earth-616)|Mona Maguire]] (mother);
1114380	Chunhua	[[Lian Tang (Earth-616)|Lian Tang]] (daughter)
1114398	John	[[Gale Romney (Earth-616)|Gale Romney]] (niece)
1114405	Gale	[[John Romney (Earth-616)|John Romney]] (uncle, deceased)
1114492	Rosie	Ellie (aunt)
1114588	Deke	[[Leopold Fitz (Earth-TRN679)|Leo Fitz]] (maternal grandfather, deceased);
1114700	Theodore	[[Gwendolyn Poole (Earth-TRN565)|Gwen Poole]] (co-creator, "daughter");
1114702	Martha	[[Gwendolyn Poole (Earth-TRN565)|Gwen Poole]] (co-creator, "daughter");
1114728	Namorita	[[Namor McKenzie (Earth-10333)|Namor]] (cousin)
1114732	Miles	[[Jefferson Davis (Earth-TRN638)|Jefferson Davis]] (father, deceased);
1114785	John	Unnamed sister
1114892	Webslinger	Unnamed uncle
1115014	Hector	[[Guillermo Del Sol (Earth-616)|Guillermo Del Sol]] (brother, deceased)
1115044	Egvanda	[[Eitri (Earth-616)|Eitri]] (husband);[[Kindra (Earth-616)|Kindra]] (daughter)
1115213	Morgan	Unnamed children
1115284	Sarah	[[David Menard (Earth-616)|David Menard]] (ex-husband);
1115300	David	[[Sarah Dewey (Earth-616)|Sarah Dewey]] (ex-wife);
1115302	Daniel	[[David Menard (Earth-616)|David Menard]] (father);
1115303	William	[[David Menard (Earth-616)|David Menard]] (father);
1115483	James	Unnamed father;Unnamed mother
1115499	John	[[Zechariah (Earth-616)|Zechariah]] (father);[[Elizabeth (Earth-616)|Elizabeth]] (mother)
1115634	Tilly	[[Martin Beatering (Earth-616)|Martin Beatering]] (husband)
1115636	Martin	[[Tilly Beatering (Earth-616)|Tilly Beatering]]
1115765	HELLhound	[[Garm (Earth-616)|Garm]] (son)
1115792	Lycaon	[[Pandarus of Lycia (Earth-616)|Pandarus]] (son)
1115845	Zechariah	[[Elizabeth (Earth-616)|Elizabeth]] (wife);[[John the Baptist (Earth-616)|John]] (son)
1115850	Elizabeth	[[Zechariah (Earth-616)|Zechariah]] (husband);[[John the Baptist (Earth-616)|John]] (son)
1115885	John	[[Ray Coulson (Earth-616)|Ray Coulson]] (father); Unnamed mother (deceased)
1115895	Ray	Unnamed wife (deceased);[[John Coulson (Earth-616)|John Coulson]] (son)
1116058	Gorna	[[Petra Vornik (Earth-616)|Petra Vornik]] (wife);
1116385	Blackagar	[[Medusalith Amaquelin (Earth-10333)|Medusa]] (wife)
1116390	Razan	[[Osiris (Earth-616)|Osiris]] (father);
1116451	Elizabeth	[[Thaddeus Ross (Earth-TRN562)|Thaddeus Ross]] (father)
1116514	Eugene	[[Agent Venom (Klyntar) (Earth-13122)|Agent Venom Symbiote]] (Symbiote)
1116515	Agent	[[Eugene Thompson (Earth-13122)|Flash Thompson]] (Host)
1116556	John	Lady O'Dare (mother, deceased);[[El Alemain (Earth-616)|El Alemain]] (brother)
1116570	John	[[Elizabeth Proctor (Earth-616)|Elizabeth Proctor]] (wife)
1116577	Elizabeth	[[John Proctor (Earth-616)|John Proctor]]
1116657	Catequil	[[Con Ticci Viracocha (Earth-616)|Viracocha]], [[Mama Cocha (Earth-616)|Mama Cocha]] (creators)
1116661	Chasca	&lt;!-- presumably [[Con Ticci Viracocha (Earth-616)|Viracocha]], [[Mama Cocha (Earth-616)|Mama Cocha]] (creators) --&gt;
1116663	Supay	[[Con Ticci Viracocha (Earth-616)|Viracocha]], [[Mama Cocha (Earth-616)|Mama Cocha]] (creators)
1116665	Urcuchillay	&lt;!-- presumably [[Con Ticci Viracocha (Earth-616)|Viracocha]], [[Mama Cocha (Earth-616)|Mama Cocha]] (creators) --&gt;
1116667	Mama	[[Con Ticci Viracocha (Earth-616)|Viracocha]], [[Mama Cocha (Earth-616)|Mama Cocha]] (parents/creators);{{r|Thor  Hercules: Encyclopaedia Mythologica #1|; [[Apu]]'s entry}}
1116669	Kon	&lt;!-- presumably [[Con Ticci Viracocha (Earth-616)|Viracocha]], [[Mama Cocha (Earth-616)|Mama Cocha]] (creators) --&gt;
1116671	Mama	[[Con Ticci Viracocha (Earth-616)|Viracocha]] (creator/companion);{{r|Thor  Hercules: Encyclopaedia Mythologica #1|; [[Apu]]'s entry}}
1116695	Thomas	[[Daniel Rizzo (Earth-616)|Daniel Rizzo]] (brother, deceased)
1116775	Yondu	[[Yondu Udonta (Ravager) (Earth-13122)|Yondu Udonta]] (Ancestor)
1116794	Archibald	[[Lyza Strang (Earth-616)|Lyza Strang]] (wife, deceased)
1116795	Lyza	[[Archibald Strang (Earth-616)|Archibald Strang]] (wife, deceased)
1116871	John	Unnamed wife;[[Todd Gregory (Earth-616)|Todd Gregory]] (son)
1116882	Todd	[[John Gregory (Earth-616)|John Gregory]] (father);Unnamed mother
1117014	John	Unnamed wife;[[Nico Wolinski (Earth-616)|Nico Wolinski]] (son)
1117043	John	[[Fran Chandler (Earth-616)|Fran Chandler]] (wife)
1117049	Fran	[[John Chandler (Earth-616)|John Chandler]] (husband, deceased)
1117066	John	[[Anthony Savas (Earth-616)|Anthony Savas]] (father, deceased);[[Phaedra Savas (Earth-616)|Phaedra Savas]] (mother);Sandra Savas (sister);Tina Savas (sister)
